,precision,recall,f1-score,support
0,0.9934949733885275,0.579510175922732,0.7320261437908496,2899.0
1,0.1249102656137832,0.9405405405405406,0.22053231939163498,185.0
accuracy,0.6011673151750972,0.6011673151750972,0.6011673151750972,0.6011673151750972
macro avg,0.5592026195011554,0.7600253582316363,0.4762792315912423,3084.0
weighted avg,0.9413911566121567,0.6011673151750974,0.7013431484880434,3084.0
