,precision,recall,f1-score,support
0,0.9800185873605948,0.7274922387030011,0.8350821619481291,2899.0
1,0.15236051502145923,0.7675675675675676,0.25425246195165624,185.0
accuracy,0.7298962386511024,0.7298962386511024,0.7298962386511024,0.7298962386511024
macro avg,0.566189551191027,0.7475299031352843,0.5446673119498927,3084.0
weighted avg,0.9303698378849982,0.7298962386511024,0.8002399134074847,3084.0
